artifactId,name,type,category,route,sourceFile,frontendStatus,backendStatus,demoStatus,assetPack,product,workspace,roles,organizationTypes,riskLevel,description,dependencies,tags,embeddingText,status
ai-explainability,AI Explainability,tool,Reference,/tools/ai-explainability,src/pages/tools/AiExplainability.jsx,frontend-routed,backend-backed,demo-only,ai-workflow-pack|core-platform,product-core-platform,clinical|reference|assistant|ai-workflow|operations,emergency physician|hospitalist|nurse|ICU clinician|medical student,hospital,medium,"Tier C clinical intelligence workflow that displays confidence, sources, reasoning, tool chain, and sanitized execution logs",/api/clinical-intelligence/ai-explainability/trace|src/pages/tools/AiExplainability.jsx|src/services/clinicalIntelligenceApi.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,tool|Reference|clinical|reference|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,ai-explainability ai explainability tool reference tools ai-explainability ai-workflow-pack core-platform product-core-platform clinical reference assistant ai-workflow operations emergency physician hospitalist nurse icu clinician medical student hospital medium tier c clinical intelligence workflow that displays confidence sources reasoning tool chain and sanitized execution logs api clinical-intelligence ai-explainability trace src pages tools aiexplainability jsx src services clinicalintelligenceapi js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js tool reference clinical reference assistant ai-workflow operations ai-workflow-pack core-platform,active
ai-gateway,AI Gateway,tool,AI System,/assistant,src/pages/Assistant.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform,product-core-platform,clinical|assistant|ai-workflow|operations,emergency physician|hospitalist|cardiologist|nurse|ICU clinician|pediatric clinician|pharmacist|fleet operator|biomedical engineer|administrator|researcher|medical student,hospital,medium,"Assistant gateway surface for routing, trace metadata, safety policy context, and guarded clinical AI responses.",src/pages/Assistant.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,ai-assisted-tool|AI System|clinical|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,ai-gateway ai gateway tool ai system assistant ai-workflow-pack core-platform product-core-platform clinical assistant ai-workflow operations emergency physician hospitalist cardiologist nurse icu clinician pediatric clinician pharmacist fleet operator biomedical engineer administrator researcher medical student hospital medium assistant gateway surface for routing trace metadata safety policy context and guarded clinical ai responses src pages assistant jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system clinical assistant ai-workflow operations ai-workflow-pack core-platform,draft
ai-governance,AI Governance,governance,AI System,/ai-governance,src/pages/platform/PlatformGovernanceWorkspace.jsx,frontend-routed,backend-backed,demo-only,ai-workflow-pack|core-platform|governance-compliance-pack,product-core-platform|product-governance,admin|assistant|ai-workflow|clinical|operations|governance|audit,administrator,hospital,high,"Governance center for model inventory, clinical review, risk classification, approval workflows, and release history.",/api/ai-governance/summary|src/pages/platform/PlatformGovernanceWorkspace.jsx|src/services/platformGovernanceApi.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,governance|AI System|admin|assistant|ai-workflow|clinical|operations|audit|ai-workflow-pack|core-platform|governance-compliance-pack,ai-governance ai governance governance ai system ai-governance ai-workflow-pack core-platform governance-compliance-pack product-core-platform product-governance admin assistant ai-workflow clinical operations governance audit administrator hospital high governance center for model inventory clinical review risk classification approval workflows and release history api ai-governance summary src pages platform platformgovernanceworkspace jsx src services platformgovernanceapi js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js governance ai system admin assistant ai-workflow clinical operations audit ai-workflow-pack core-platform governance-compliance-pack,active
ai-memory,AI Memory,tool,AI System,/ai-memory,src/pages/MemoryDashboard.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform,product-core-platform,clinical|assistant|ai-workflow|operations,emergency physician|hospitalist|cardiologist|nurse|ICU clinician|pediatric clinician|pharmacist|fleet operator|biomedical engineer|administrator|researcher|medical student,hospital,medium,"Memory dashboard for short, long, and clinical context used to personalize assistant workflows.",src/pages/MemoryDashboard.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,ai-assisted-tool|AI System|clinical|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,ai-memory ai memory tool ai system ai-memory ai-workflow-pack core-platform product-core-platform clinical assistant ai-workflow operations emergency physician hospitalist cardiologist nurse icu clinician pediatric clinician pharmacist fleet operator biomedical engineer administrator researcher medical student hospital medium memory dashboard for short long and clinical context used to personalize assistant workflows src pages memorydashboard jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system clinical assistant ai-workflow operations ai-workflow-pack core-platform,draft
ai-rag,RAG Evidence Engine,tool,AI System,/tools/guideline-rag,src/pages/tools/GuidelineRag.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform|research-education,product-core-platform|product-research,research|reference|assistant|ai-workflow|clinical|operations|education,researcher|medical student|hospitalist,hospital,medium,"Retrieval-augmented evidence engine for guideline lookup, citations, source panels, and grounded assistant responses.",src/pages/tools/GuidelineRag.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,ai-assisted-tool|AI System|research|reference|assistant|ai-workflow|clinical|operations|education|ai-workflow-pack|core-platform|research-education,ai-rag rag evidence engine tool ai system tools guideline-rag ai-workflow-pack core-platform research-education product-core-platform product-research research reference assistant ai-workflow clinical operations education researcher medical student hospitalist hospital medium retrieval-augmented evidence engine for guideline lookup citations source panels and grounded assistant responses src pages tools guidelinerag jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system research reference assistant ai-workflow clinical operations education ai-workflow-pack core-platform research-education,draft
ai-run-audit-timeline,AI Run Audit Timeline,governance,Other,/audit/ai,src/pages/platform/PlatformGovernanceWorkspace.jsx,frontend-routed,backend-backed,demo-only,ai-workflow-pack|core-platform|governance-compliance-pack,product-core-platform|product-governance,admin|assistant|ai-workflow|clinical|operations|governance|audit,administrator,hospital,high,"Reconstruct AI gateway, routing, retrieval, model, tool, response, review, and disposition events.",/api/audit/runs/:runId|src/pages/platform/PlatformGovernanceWorkspace.jsx|src/services/platformSystemsApi.js|platformSystemsExpansionPlan.test.js|routePagesSmoke.test.jsx|App.permissions.test.jsx|platformResponsive.test.jsx,governance|Other|admin|assistant|ai-workflow|clinical|operations|audit|ai-workflow-pack|core-platform|governance-compliance-pack,ai-run-audit-timeline ai run audit timeline governance other audit ai ai-workflow-pack core-platform governance-compliance-pack product-core-platform product-governance admin assistant ai-workflow clinical operations governance audit administrator hospital high reconstruct ai gateway routing retrieval model tool response review and disposition events api audit runs runid src pages platform platformgovernanceworkspace jsx src services platformsystemsapi js platformsystemsexpansionplan test js routepagessmoke test jsx app permissions test jsx platformresponsive test jsx governance other admin assistant ai-workflow clinical operations audit ai-workflow-pack core-platform governance-compliance-pack,active
ai-security,LLM Security,governance,AI System,/security,src/pages/platform/PlatformGovernanceWorkspace.jsx,frontend-routed,backend-backed,demo-only,ai-workflow-pack|core-platform|governance-compliance-pack,product-core-platform|product-governance,admin|assistant|ai-workflow|clinical|operations|governance|audit,administrator,hospital,high,"Security dashboard for prompt-injection detection, PHI protection, output validation, tool permissions, and rate limits.",/api/security/summary|src/pages/platform/PlatformGovernanceWorkspace.jsx|src/services/platformGovernanceApi.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,governance|AI System|admin|assistant|ai-workflow|clinical|operations|audit|ai-workflow-pack|core-platform|governance-compliance-pack,ai-security llm security governance ai system security ai-workflow-pack core-platform governance-compliance-pack product-core-platform product-governance admin assistant ai-workflow clinical operations governance audit administrator hospital high security dashboard for prompt-injection detection phi protection output validation tool permissions and rate limits api security summary src pages platform platformgovernanceworkspace jsx src services platformgovernanceapi js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js governance ai system admin assistant ai-workflow clinical operations audit ai-workflow-pack core-platform governance-compliance-pack,active
ai-tool-calling,AI Tool Calling,tool,AI System,/assistant,src/pages/Assistant.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform,product-core-platform,admin|assistant|ai-workflow|clinical|operations,administrator,hospital,high,"Guarded tool-calling workflow for tool resolution, parameter validation, structured tool context, and unsupported-tool boundaries.",src/pages/Assistant.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,ai-assisted-tool|AI System|admin|assistant|ai-workflow|clinical|operations|ai-workflow-pack|core-platform,ai-tool-calling ai tool calling tool ai system assistant ai-workflow-pack core-platform product-core-platform admin assistant ai-workflow clinical operations administrator hospital high guarded tool-calling workflow for tool resolution parameter validation structured tool context and unsupported-tool boundaries src pages assistant jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system admin assistant ai-workflow clinical operations ai-workflow-pack core-platform,draft
ai-training,AI Training Pipeline,tool,AI System,/training,src/pages/TrainingDashboard.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform|simulation-training-pack,product-core-platform|product-simulation-training,simulation|education|clinical|training|assistant|ai-workflow|operations,emergency physician|nurse|medical student|ICU clinician|biomedical engineer|fleet operator,hospital,medium,"Training and MoE planning dashboard for governed AI iteration, datasets, and model improvement loops.",src/pages/TrainingDashboard.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,ai-assisted-tool|AI System|simulation|education|clinical|training|assistant|ai-workflow|operations|ai-workflow-pack|core-platform|simulation-training-pack,ai-training ai training pipeline tool ai system training ai-workflow-pack core-platform simulation-training-pack product-core-platform product-simulation-training simulation education clinical training assistant ai-workflow operations emergency physician nurse medical student icu clinician biomedical engineer fleet operator hospital medium training and moe planning dashboard for governed ai iteration datasets and model improvement loops src pages trainingdashboard jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system simulation education clinical training assistant ai-workflow operations ai-workflow-pack core-platform simulation-training-pack,draft
aki-staging-assistant,AKI Staging Assistant,tool,Calculator,/tools/nephrology/aki-staging-assistant,src/pages/tools/NephrologyAssistantPage.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform,product-core-platform,clinical|calculator|assistant|ai-workflow|operations,emergency physician|hospitalist|nurse|ICU clinician|medical student,hospital,medium,Guided AKI staging support using KDIGO creatinine and urine output context. Does not diagnose etiology or recommend therapy.,src/pages/tools/NephrologyAssistantPage.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,ai-assisted-tool|Calculator|clinical|calculator|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,aki-staging-assistant aki staging assistant tool calculator tools nephrology aki-staging-assistant ai-workflow-pack core-platform product-core-platform clinical calculator assistant ai-workflow operations emergency physician hospitalist nurse icu clinician medical student hospital medium guided aki staging support using kdigo creatinine and urine output context does not diagnose etiology or recommend therapy src pages tools nephrologyassistantpage jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool calculator clinical calculator assistant ai-workflow operations ai-workflow-pack core-platform,draft
