artifactId,normalizedText,tags,typeEncoding,roleEncoding,workspaceEncoding,packEncoding,dependencyCount,riskScore,readinessScore
ai-explainability,ai-explainability ai explainability tool reference tools ai-explainability ai-workflow-pack core-platform product-core-platform clinical reference assistant ai-workflow operations emergency physician hospitalist nurse icu clinician medical student hospital medium tier c clinical intelligence workflow that displays confidence sources reasoning tool chain and sanitized execution logs api clinical-intelligence ai-explainability trace src pages tools aiexplainability jsx src services clinicalintelligenceapi js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js tool reference clinical reference assistant ai-workflow operations ai-workflow-pack core-platform,tool|Reference|clinical|reference|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,type:tool,role:emergency-physician|role:hospitalist|role:nurse|role:icu-clinician|role:medical-student,workspace:clinical|workspace:reference|workspace:assistant|workspace:ai-workflow|workspace:operations,pack:ai-workflow-pack|pack:core-platform,9,0.5,0.82
ai-gateway,ai-gateway ai gateway tool ai system assistant ai-workflow-pack core-platform product-core-platform clinical assistant ai-workflow operations emergency physician hospitalist cardiologist nurse icu clinician pediatric clinician pharmacist fleet operator biomedical engineer administrator researcher medical student hospital medium assistant gateway surface for routing trace metadata safety policy context and guarded clinical ai responses src pages assistant jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system clinical assistant ai-workflow operations ai-workflow-pack core-platform,ai-assisted-tool|AI System|clinical|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,type:tool,role:emergency-physician|role:hospitalist|role:cardiologist|role:nurse|role:icu-clinician|role:pediatric-clinician|role:pharmacist|role:fleet-operator|role:biomedical-engineer|role:administrator|role:researcher|role:medical-student,workspace:clinical|workspace:assistant|workspace:ai-workflow|workspace:operations,pack:ai-workflow-pack|pack:core-platform,8,0.5,0.58
ai-governance,ai-governance ai governance governance ai system ai-governance ai-workflow-pack core-platform governance-compliance-pack product-core-platform product-governance admin assistant ai-workflow clinical operations governance audit administrator hospital high governance center for model inventory clinical review risk classification approval workflows and release history api ai-governance summary src pages platform platformgovernanceworkspace jsx src services platformgovernanceapi js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js governance ai system admin assistant ai-workflow clinical operations audit ai-workflow-pack core-platform governance-compliance-pack,governance|AI System|admin|assistant|ai-workflow|clinical|operations|audit|ai-workflow-pack|core-platform|governance-compliance-pack,type:governance,role:administrator,workspace:admin|workspace:assistant|workspace:ai-workflow|workspace:clinical|workspace:operations|workspace:governance|workspace:audit,pack:ai-workflow-pack|pack:core-platform|pack:governance-compliance-pack,9,0.8,0.6
ai-memory,ai-memory ai memory tool ai system ai-memory ai-workflow-pack core-platform product-core-platform clinical assistant ai-workflow operations emergency physician hospitalist cardiologist nurse icu clinician pediatric clinician pharmacist fleet operator biomedical engineer administrator researcher medical student hospital medium memory dashboard for short long and clinical context used to personalize assistant workflows src pages memorydashboard jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system clinical assistant ai-workflow operations ai-workflow-pack core-platform,ai-assisted-tool|AI System|clinical|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,type:tool,role:emergency-physician|role:hospitalist|role:cardiologist|role:nurse|role:icu-clinician|role:pediatric-clinician|role:pharmacist|role:fleet-operator|role:biomedical-engineer|role:administrator|role:researcher|role:medical-student,workspace:clinical|workspace:assistant|workspace:ai-workflow|workspace:operations,pack:ai-workflow-pack|pack:core-platform,8,0.5,0.58
ai-rag,ai-rag rag evidence engine tool ai system tools guideline-rag ai-workflow-pack core-platform research-education product-core-platform product-research research reference assistant ai-workflow clinical operations education researcher medical student hospitalist hospital medium retrieval-augmented evidence engine for guideline lookup citations source panels and grounded assistant responses src pages tools guidelinerag jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system research reference assistant ai-workflow clinical operations education ai-workflow-pack core-platform research-education,ai-assisted-tool|AI System|research|reference|assistant|ai-workflow|clinical|operations|education|ai-workflow-pack|core-platform|research-education,type:tool,role:researcher|role:medical-student|role:hospitalist,workspace:research|workspace:reference|workspace:assistant|workspace:ai-workflow|workspace:clinical|workspace:operations|workspace:education,pack:ai-workflow-pack|pack:core-platform|pack:research-education,8,0.5,0.58
ai-run-audit-timeline,ai-run-audit-timeline ai run audit timeline governance other audit ai ai-workflow-pack core-platform governance-compliance-pack product-core-platform product-governance admin assistant ai-workflow clinical operations governance audit administrator hospital high reconstruct ai gateway routing retrieval model tool response review and disposition events api audit runs runid src pages platform platformgovernanceworkspace jsx src services platformsystemsapi js platformsystemsexpansionplan test js routepagessmoke test jsx app permissions test jsx platformresponsive test jsx governance other admin assistant ai-workflow clinical operations audit ai-workflow-pack core-platform governance-compliance-pack,governance|Other|admin|assistant|ai-workflow|clinical|operations|audit|ai-workflow-pack|core-platform|governance-compliance-pack,type:governance,role:administrator,workspace:admin|workspace:assistant|workspace:ai-workflow|workspace:clinical|workspace:operations|workspace:governance|workspace:audit,pack:ai-workflow-pack|pack:core-platform|pack:governance-compliance-pack,7,0.8,0.6
ai-security,ai-security llm security governance ai system security ai-workflow-pack core-platform governance-compliance-pack product-core-platform product-governance admin assistant ai-workflow clinical operations governance audit administrator hospital high security dashboard for prompt-injection detection phi protection output validation tool permissions and rate limits api security summary src pages platform platformgovernanceworkspace jsx src services platformgovernanceapi js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js governance ai system admin assistant ai-workflow clinical operations audit ai-workflow-pack core-platform governance-compliance-pack,governance|AI System|admin|assistant|ai-workflow|clinical|operations|audit|ai-workflow-pack|core-platform|governance-compliance-pack,type:governance,role:administrator,workspace:admin|workspace:assistant|workspace:ai-workflow|workspace:clinical|workspace:operations|workspace:governance|workspace:audit,pack:ai-workflow-pack|pack:core-platform|pack:governance-compliance-pack,9,0.8,0.6
ai-tool-calling,ai-tool-calling ai tool calling tool ai system assistant ai-workflow-pack core-platform product-core-platform admin assistant ai-workflow clinical operations administrator hospital high guarded tool-calling workflow for tool resolution parameter validation structured tool context and unsupported-tool boundaries src pages assistant jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system admin assistant ai-workflow clinical operations ai-workflow-pack core-platform,ai-assisted-tool|AI System|admin|assistant|ai-workflow|clinical|operations|ai-workflow-pack|core-platform,type:tool,role:administrator,workspace:admin|workspace:assistant|workspace:ai-workflow|workspace:clinical|workspace:operations,pack:ai-workflow-pack|pack:core-platform,8,0.8,0.58
ai-training,ai-training ai training pipeline tool ai system training ai-workflow-pack core-platform simulation-training-pack product-core-platform product-simulation-training simulation education clinical training assistant ai-workflow operations emergency physician nurse medical student icu clinician biomedical engineer fleet operator hospital medium training and moe planning dashboard for governed ai iteration datasets and model improvement loops src pages trainingdashboard jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system simulation education clinical training assistant ai-workflow operations ai-workflow-pack core-platform simulation-training-pack,ai-assisted-tool|AI System|simulation|education|clinical|training|assistant|ai-workflow|operations|ai-workflow-pack|core-platform|simulation-training-pack,type:tool,role:emergency-physician|role:nurse|role:medical-student|role:icu-clinician|role:biomedical-engineer|role:fleet-operator,workspace:simulation|workspace:education|workspace:clinical|workspace:training|workspace:assistant|workspace:ai-workflow|workspace:operations,pack:ai-workflow-pack|pack:core-platform|pack:simulation-training-pack,8,0.5,0.58
aki-staging-assistant,aki-staging-assistant aki staging assistant tool calculator tools nephrology aki-staging-assistant ai-workflow-pack core-platform product-core-platform clinical calculator assistant ai-workflow operations emergency physician hospitalist nurse icu clinician medical student hospital medium guided aki staging support using kdigo creatinine and urine output context does not diagnose etiology or recommend therapy src pages tools nephrologyassistantpage jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool calculator clinical calculator assistant ai-workflow operations ai-workflow-pack core-platform,ai-assisted-tool|Calculator|clinical|calculator|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,type:tool,role:emergency-physician|role:hospitalist|role:nurse|role:icu-clinician|role:medical-student,workspace:clinical|workspace:calculator|workspace:assistant|workspace:ai-workflow|workspace:operations,pack:ai-workflow-pack|pack:core-platform,8,0.5,0.58
ambient-scribe,ambient-scribe ambient clinical scribe tool calculator tools ambient-scribe ai-workflow-pack core-platform product-core-platform clinical calculator assistant ai-workflow operations emergency physician hospitalist nurse icu clinician medical student hospital high tier c documentation workflow for speech-to-text soap notes discharge summaries and referral drafts with required clinician review api clinical-intelligence ambient-scribe generate src pages tools ambientscribe jsx src services clinicalintelligenceapi js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js tool calculator clinical calculator assistant ai-workflow operations ai-workflow-pack core-platform,tool|Calculator|clinical|calculator|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,type:tool,role:emergency-physician|role:hospitalist|role:nurse|role:icu-clinician|role:medical-student,workspace:clinical|workspace:calculator|workspace:assistant|workspace:ai-workflow|workspace:operations,pack:ai-workflow-pack|pack:core-platform,9,0.8,0.82
anion-gap,anion-gap anion gap calculator calculator tools calculators anion-gap core-platform product-core-platform clinical calculator operations emergency physician hospitalist nurse icu clinician medical student hospital medium serum anion gap with optional albumin correction for acid-base review src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator clinical operations core-platform,calculator|Calculator|clinical|operations|core-platform,type:calculator,role:emergency-physician|role:hospitalist|role:nurse|role:icu-clinician|role:medical-student,workspace:clinical|workspace:calculator|workspace:operations,pack:core-platform,7,0.5,0.62
antibiotic-guide,antibiotic-guide antibiotic guide tool diagnostic tools diagnosis cardiology-pack laboratory-intelligence medical-iot-pack hospital-operations digital-twin-pack product-cardiology product-laboratory product-medical-iot product-hospital-operations product-digital-twin operations cardiology clinical pharmacy diagnostic laboratory medical-iot maps biomedical engineer icu clinician nurse administrator cardiologist emergency physician hospitalist pharmacist hospital low empiric antimicrobial choice src pages tools diagnosisassistant jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js tool diagnostic operations cardiology clinical pharmacy diagnostic laboratory medical-iot maps cardiology-pack laboratory-intelligence medical-iot-pack hospital-operations digital-twin-pack,tool|Diagnostic|operations|cardiology|clinical|pharmacy|diagnostic|laboratory|medical-iot|maps|cardiology-pack|laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack,type:tool,role:biomedical-engineer|role:icu-clinician|role:nurse|role:administrator|role:cardiologist|role:emergency-physician|role:hospitalist|role:pharmacist,workspace:operations|workspace:cardiology|workspace:clinical|workspace:pharmacy|workspace:diagnostic|workspace:laboratory|workspace:medical-iot|workspace:maps,pack:cardiology-pack|pack:laboratory-intelligence|pack:medical-iot-pack|pack:hospital-operations|pack:digital-twin-pack,8,0.2,0.58
apache2-calculator,apache2-calculator apache-ii calculator calculator tools calculators apache-ii icu-pack product-icu clinical calculator icu emergency physician hospitalist nurse icu clinician medical student hospital medium apache ii icu severity scoring from validated point bands gcs age and chronic health mortality estimates are diagnosis-specific and not generated src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator clinical icu icu-pack,calculator|Calculator|clinical|icu|icu-pack,type:calculator,role:emergency-physician|role:hospitalist|role:nurse|role:icu-clinician|role:medical-student,workspace:clinical|workspace:calculator|workspace:icu,pack:icu-pack,7,0.5,0.62
apgar-score,apgar-score apgar score calculator calculator tools calculators apgar-score core-platform product-core-platform pediatrics clinical calculator operations pediatric clinician nurse medical student hospital medium apgar score for newborn status at 1 and 5 minutes appearance pulse grimace activity respiration 0 10 each src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator pediatrics clinical operations core-platform,calculator|Calculator|pediatrics|clinical|operations|core-platform,type:calculator,role:pediatric-clinician|role:nurse|role:medical-student,workspace:pediatrics|workspace:clinical|workspace:calculator|workspace:operations,pack:core-platform,7,0.5,0.62
api-delete-api-auth-biometric-delete-deviceid,api-delete-api-auth-biometric-delete-deviceid delete api auth biometric delete deviceid api-endpoint biometriccontroller api auth biometric delete deviceid unknown unknown backend unknown unknown high biometriccontroller exposes delete api auth biometric delete deviceid biometriccontroller api delete biometriccontroller,api|DELETE|BiometricController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-delete-api-auth-biometric-disable-deviceid,api-delete-api-auth-biometric-disable-deviceid delete api auth biometric disable deviceid api-endpoint biometriccontroller api auth biometric disable deviceid unknown unknown backend unknown unknown high biometriccontroller exposes delete api auth biometric disable deviceid biometriccontroller api delete biometriccontroller,api|DELETE|BiometricController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-delete-api-compliance-delete-account,api-delete-api-compliance-delete-account delete api compliance delete-account api-endpoint compliancecontroller api compliance delete-account unknown unknown backend unknown unknown high compliancecontroller exposes delete api compliance delete-account compliancecontroller api delete compliancecontroller,api|DELETE|ComplianceController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-delete-api-drugs-id,api-delete-api-drugs-id delete api drugs id api-endpoint drugcontroller api drugs id unknown unknown backend unknown unknown high drugcontroller exposes delete api drugs id drugcontroller api delete drugcontroller,api|DELETE|DrugController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-delete-api-notifications-devices-token,api-delete-api-notifications-devices-token delete api notifications devices token api-endpoint notificationcontroller api notifications devices token unknown unknown backend unknown unknown high notificationcontroller exposes delete api notifications devices token notificationcontroller api delete notificationcontroller,api|DELETE|NotificationController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-delete-api-notifications-id,api-delete-api-notifications-id delete api notifications id api-endpoint notificationcontroller api notifications id unknown unknown backend unknown unknown high notificationcontroller exposes delete api notifications id notificationcontroller api delete notificationcontroller,api|DELETE|NotificationController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-delete-api-personalization-me-saved-prompts-promptid,api-delete-api-personalization-me-saved-prompts-promptid delete api personalization me saved-prompts promptid api-endpoint personalizationcontroller api personalization me saved-prompts promptid unknown unknown backend unknown unknown high personalizationcontroller exposes delete api personalization me saved-prompts promptid personalizationcontroller api delete personalizationcontroller,api|DELETE|PersonalizationController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-delete-api-protocols-id,api-delete-api-protocols-id delete api protocols id api-endpoint protocolcontroller api protocols id unknown unknown backend unknown unknown high protocolcontroller exposes delete api protocols id protocolcontroller api delete protocolcontroller,api|DELETE|ProtocolController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-delete-api-two-factor-disable,api-delete-api-two-factor-disable delete api two-factor disable api-endpoint twofactorcontroller api two-factor disable unknown unknown backend unknown unknown high twofactorcontroller exposes delete api two-factor disable twofactorcontroller api delete twofactorcontroller,api|DELETE|TwoFactorController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-get-api-activity-me,api-get-api-activity-me get api activity me api-endpoint useractivitycontroller api activity me unknown unknown backend unknown unknown medium useractivitycontroller exposes get api activity me useractivitycontroller api get useractivitycontroller,api|GET|UserActivityController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.5,0.7
api-get-api-activity-me-summary,api-get-api-activity-me-summary get api activity me summary api-endpoint useractivitycontroller api activity me summary unknown unknown backend unknown unknown medium useractivitycontroller exposes get api activity me summary useractivitycontroller api get useractivitycontroller,api|GET|UserActivityController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.5,0.7
api-get-api-activity-workspaces-workspaceid,api-get-api-activity-workspaces-workspaceid get api activity workspaces workspaceid api-endpoint useractivitycontroller api activity workspaces workspaceid unknown unknown backend unknown unknown medium useractivitycontroller exposes get api activity workspaces workspaceid useractivitycontroller api get useractivitycontroller,api|GET|UserActivityController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.5,0.7
api-get-api-agents,api-get-api-agents get api agents api-endpoint productcatalogcontroller api agents unknown unknown backend unknown unknown medium productcatalogcontroller exposes get api agents productcatalogcontroller api get productcatalogcontroller,api|GET|ProductCatalogController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.5,0.7
api-get-api-ai-governance-summary,api-get-api-ai-governance-summary get api ai-governance summary api-endpoint governancecontroller api ai-governance summary unknown unknown backend unknown unknown medium governancecontroller exposes get api ai-governance summary governancecontroller api get governancecontroller,api|GET|GovernanceController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.5,0.7
